T,N,method,result,theory,error
1.000000000000000e-01,10,naive,4.865889626703894e-02,5.000000000000000e-02,2.682207465922126e+00
1.000000000000000e-01,10,naive_FMA,4.865889626703894e-02,5.000000000000000e-02,2.682207465922126e+00
1.000000000000000e-01,10,recursive,4.865889626703895e-02,5.000000000000000e-02,2.682207465922093e+00
1.000000000000000e-01,10,circle_recursive,4.865889626703895e-02,5.000000000000000e-02,2.682207465922115e+00
1.000000000000000e-01,10,kahan,4.865889626703895e-02,5.000000000000000e-02,2.682207465922115e+00
1.000000000000000e-01,1000,naive,4.999999999999993e-02,5.000000000000000e-02,1.554312234475219e-13
1.000000000000000e-01,1000,naive_FMA,4.999999999999993e-02,5.000000000000000e-02,1.554312234475219e-13
1.000000000000000e-01,1000,recursive,4.999999999999993e-02,5.000000000000000e-02,1.554312234475219e-13
1.000000000000000e-01,1000,circle_recursive,4.999999999999992e-02,5.000000000000000e-02,1.665334536937735e-13
1.000000000000000e-01,1000,kahan,4.999999999999992e-02,5.000000000000000e-02,1.665334536937735e-13
1.000000000000000e-01,100000,naive,4.999999999999798e-02,5.000000000000000e-02,4.041211809635570e-12
1.000000000000000e-01,100000,naive_FMA,4.999999999999798e-02,5.000000000000000e-02,4.041211809635570e-12
1.000000000000000e-01,100000,recursive,4.999999999999991e-02,5.000000000000000e-02,1.776356839400250e-13
1.000000000000000e-01,100000,circle_recursive,4.999999999999993e-02,5.000000000000000e-02,1.554312234475219e-13
1.000000000000000e-01,100000,kahan,4.999999999999993e-02,5.000000000000000e-02,1.554312234475219e-13
1.000000000000000e+00,10,naive,4.865889626703895e-01,5.000000000000000e-01,2.682207465922104e+00
1.000000000000000e+00,10,naive_FMA,4.865889626703895e-01,5.000000000000000e-01,2.682207465922104e+00
1.000000000000000e+00,10,recursive,4.865889626703895e-01,5.000000000000000e-01,2.682207465922104e+00
1.000000000000000e+00,10,circle_recursive,4.865889626703894e-01,5.000000000000000e-01,2.682207465922115e+00
1.000000000000000e+00,10,kahan,4.865889626703895e-01,5.000000000000000e-01,2.682207465922104e+00
