T,N,method,result,theory,error
1.0000000e-01,10,naive,4.8658900e-02,5.0000001e-02,2.6822031e+00
1.0000000e-01,10,naive_FMA,4.8658900e-02,5.0000001e-02,2.6822031e+00
1.0000000e-01,10,recursive,4.8658896e-02,5.0000001e-02,2.6822090e+00
1.0000000e-01,10,circle_recursive,4.8658896e-02,5.0000001e-02,2.6822090e+00
1.0000000e-01,10,kahan,4.8658896e-02,5.0000001e-02,2.6822090e+00
1.0000000e-01,1000,naive,4.9999993e-02,5.0000001e-02,1.1920929e-05
1.0000000e-01,1000,naive_FMA,4.9999993e-02,5.0000001e-02,1.1920929e-05
1.0000000e-01,1000,recursive,4.9999997e-02,5.0000001e-02,5.9604645e-06
1.0000000e-01,1000,circle_recursive,5.0000001e-02,5.0000001e-02,0.0000000e+00
1.0000000e-01,1000,kahan,5.0000001e-02,5.0000001e-02,0.0000000e+00
1.0000000e-01,100000,naive,4.9998339e-02,5.0000001e-02,3.3199787e-03
1.0000000e-01,100000,naive_FMA,4.9998339e-02,5.0000001e-02,3.3199787e-03
1.0000000e-01,100000,recursive,5.0000001e-02,5.0000001e-02,0.0000000e+00
1.0000000e-01,100000,circle_recursive,5.0000001e-02,5.0000001e-02,0.0000000e+00
1.0000000e-01,100000,kahan,5.0000001e-02,5.0000001e-02,0.0000000e+00
1.0000000e+00,10,naive,4.8658895e-01,5.0000000e-01,2.6822090e+00
1.0000000e+00,10,naive_FMA,4.8658895e-01,5.0000000e-01,2.6822090e+00
1.0000000e+00,10,recursive,4.8658893e-01,5.0000000e-01,2.6822150e+00
1.0000000e+00,10,circle_recursive,4.8658895e-01,5.0000000e-01,2.6822090e+00
1.0000000e+00,10,kahan,4.8658895e-01,5.0000000e-01,2.6822090e+00
1.0000000e+00,1000,naive,4.9999997e-01,5.0000000e-01,5.9604645e-06
1.0000000e+00,1000,naive_FMA,4.9999997e-01,5.0000000e-01,5.9604645e-06
1.0000000e+00,1000,recursive,4.9999997e-01,5.0000000e-01,5.9604645e-06
1.0000000e+00,1000,circle_recursive,4.9999997e-01,5.0000000e-01,5.9604645e-06
1.0000000e+00,1000,kahan,5.0000000e-01,5.0000000e-01,0.0000000e+00
1.0000000e+00,100000,naive,4.9998638e-01,5.0000000e-01,2.7239323e-03
1.0000000e+00,100000,naive_FMA,4.9998638e-01,5.0000000e-01,2.7239323e-03
1.0000000e+00,100000,recursive,5.0000000e-01,5.0000000e-01,0.0000000e+00
1.0000000e+00,100000,circle_recursive,5.0000000e-01,5.0000000e-01,0.0000000e+00
1.0000000e+00,100000,kahan,5.0000000e-01,5.0000000e-01,0.0000000e+00
1.0000000e+02,10,naive,4.8658897e+01,5.0000000e+01,2.6822031e+00
1.0000000e+02,10,naive_FMA,4.8658897e+01,5.0000000e+01,2.6822031e+00
1.0000000e+02,10,recursive,4.8658894e+01,5.0000000e+01,2.6822150e+00
1.0000000e+02,10,circle_recursive,4.8658897e+01,5.0000000e+01,2.6822031e+00
1.0000000e+02,10,kahan,4.8658894e+01,5.0000000e+01,2.6822150e+00
1.0000000e+02,1000,naive,5.0000019e+01,5.0000000e+01,3.5762787e-05
1.0000000e+02,1000,naive_FMA,5.0000019e+01,5.0000000e+01,3.5762787e-05
1.0000000e+02,1000,recursive,5.0000000e+01,5.0000000e+01,0.0000000e+00
1.0000000e+02,1000,circle_recursive,5.0000000e+01,5.0000000e+01,0.0000000e+00
1.0000000e+02,1000,kahan,5.0000000e+01,5.0000000e+01,0.0000000e+00
1.0000000e+02,100000,naive,4.9998528e+01,5.0000000e+01,2.9444695e-03
1.0000000e+02,100000,naive_FMA,4.9998528e+01,5.0000000e+01,2.9444695e-03
1.0000000e+02,100000,recursive,5.0000000e+01,5.0000000e+01,0.0000000e+00
1.0000000e+02,100000,circle_recursive,5.0000004e+01,5.0000000e+01,1.1920929e-05
1.0000000e+02,100000,kahan,5.0000000e+01,5.0000000e+01,0.0000000e+00
1.0000000e+04,10,naive,4.8658896e+03,5.0000000e+03,2.6822090e+00
1.0000000e+04,10,naive_FMA,4.8658896e+03,5.0000000e+03,2.6822090e+00
1.0000000e+04,10,recursive,4.8658896e+03,5.0000000e+03,2.6822090e+00
1.0000000e+04,10,circle_recursive,4.8658896e+03,5.0000000e+03,2.6822090e+00
1.0000000e+04,10,kahan,4.8658896e+03,5.0000000e+03,2.6822090e+00
1.0000000e+04,1000,naive,4.9999980e+03,5.0000000e+03,4.1723251e-05
1.0000000e+04,1000,naive_FMA,4.9999980e+03,5.0000000e+03,4.1723251e-05
1.0000000e+04,1000,recursive,5.0000000e+03,5.0000000e+03,0.0000000e+00
1.0000000e+04,1000,circle_recursive,5.0000000e+03,5.0000000e+03,0.0000000e+00
1.0000000e+04,1000,kahan,5.0000000e+03,5.0000000e+03,0.0000000e+00
1.0000000e+04,100000,naive,4.9997646e+03,5.0000000e+03,4.7087669e-03
1.0000000e+04,100000,naive_FMA,4.9997646e+03,5.0000000e+03,4.7087669e-03
1.0000000e+04,100000,recursive,5.0000005e+03,5.0000000e+03,1.1920929e-05
1.0000000e+04,100000,circle_recursive,5.0000000e+03,5.0000000e+03,0.0000000e+00
1.0000000e+04,100000,kahan,5.0000000e+03,5.0000000e+03,0.0000000e+00
