T,N,method,result,theory,error
1.000000000000000e-01,10,naive,1.249819398730993e-01,1.784124116152771e-01,2.994773248029041e+01
1.000000000000000e-01,10,naive_FMA,1.249819398730993e-01,1.784124116152771e-01,2.994773248029041e+01
1.000000000000000e-01,10,recursive,1.249819398730993e-01,1.784124116152771e-01,2.994773248029041e+01
1.000000000000000e-01,10,circle_recursive,1.249819398730993e-01,1.784124116152771e-01,2.994773248029041e+01
1.000000000000000e-01,10,kahan,1.249819398730993e-01,1.784124116152771e-01,2.994773248029041e+01
1.000000000000000e-01,1000,naive,1.784081296557370e-01,1.784124116152771e-01,2.400034561123032e-03
1.000000000000000e-01,1000,naive_FMA,1.784081296557370e-01,1.784124116152771e-01,2.400034561123032e-03
1.000000000000000e-01,1000,recursive,1.784081296557369e-01,1.784124116152771e-01,2.400034561189646e-03
1.000000000000000e-01,1000,circle_recursive,1.784081296557369e-01,1.784124116152771e-01,2.400034561189646e-03
1.000000000000000e-01,1000,kahan,1.784081296557369e-01,1.784124116152771e-01,2.400034561189646e-03
1.000000000000000e-01,100000,naive,1.784124111870807e-01,1.784124116152771e-01,2.400036835936703e-07
1.000000000000000e-01,100000,naive_FMA,1.784124111870807e-01,1.784124116152771e-01,2.400036835936703e-07
1.000000000000000e-01,100000,recursive,1.784124111870873e-01,1.784124116152771e-01,2.400000198576890e-07
1.000000000000000e-01,100000,circle_recursive,1.784124111870873e-01,1.784124116152771e-01,2.400000198576890e-07
1.000000000000000e-01,100000,kahan,1.784124111870873e-01,1.784124116152771e-01,2.400000198576890e-07
1.000000000000000e+00,10,naive,3.952275963852097e-01,5.641895835477563e-01,2.994773248029041e+01
1.000000000000000e+00,10,naive_FMA,3.952275963852097e-01,5.641895835477563e-01,2.994773248029041e+01
1.000000000000000e+00,10,recursive,3.952275963852097e-01,5.641895835477563e-01,2.994773248029040e+01
1.000000000000000e+00,10,circle_recursive,3.952275963852096e-01,5.641895835477563e-01,2.994773248029042e+01
1.000000000000000e+00,10,kahan,3.952275963852097e-01,5.641895835477563e-01,2.994773248029040e+01
1.000000000000000e+00,1000,naive,5.641760428027605e-01,5.641895835477563e-01,2.400034561200748e-03
1.000000000000000e+00,1000,naive_FMA,5.641760428027605e-01,5.641895835477563e-01,2.400034561200748e-03
1.000000000000000e+00,1000,recursive,5.641760428027606e-01,5.641895835477563e-01,2.400034561178543e-03
1.000000000000000e+00,1000,circle_recursive,5.641760428027603e-01,5.641895835477563e-01,2.400034561211850e-03
1.000000000000000e+00,1000,kahan,5.641760428027605e-01,5.641895835477563e-01,2.400034561200748e-03
1.000000000000000e+00,100000,naive,5.641895821936747e-01,5.641895835477563e-01,2.400047161010832e-07
1.000000000000000e+00,100000,naive_FMA,5.641895821936747e-01,5.641895835477563e-01,2.400047161010832e-07
1.000000000000000e+00,100000,recursive,5.641895821937012e-01,5.641895835477563e-01,2.400000198576890e-07
1.000000000000000e+00,100000,circle_recursive,5.641895821937012e-01,5.641895835477563e-01,2.400000198576890e-07
1.000000000000000e+00,100000,kahan,5.641895821937012e-01,5.641895835477563e-01,2.400000198576890e-07
1.000000000000000e+02,10,naive,3.952275963852094e+00,5.641895835477563e+00,2.994773248029045e+01
1.000000000000000e+02,10,naive_FMA,3.952275963852094e+00,5.641895835477563e+00,2.994773248029045e+01
1.000000000000000e+02,10,recursive,3.952275963852094e+00,5.641895835477563e+00,2.994773248029044e+01
1.000000000000000e+02,10,circle_recursive,3.952275963852094e+00,5.641895835477563e+00,2.994773248029044e+01
1.000000000000000e+02,10,kahan,3.952275963852094e+00,5.641895835477563e+00,2.994773248029044e+01
1.000000000000000e+02,1000,naive,5.641760428027611e+00,5.641895835477563e+00,2.400034561078623e-03
1.000000000000000e+02,1000,naive_FMA,5.641760428027611e+00,5.641895835477563e+00,2.400034561078623e-03
1.000000000000000e+02,1000,recursive,5.641760428027603e+00,5.641895835477563e+00,2.400034561211850e-03
1.000000000000000e+02,1000,circle_recursive,5.641760428027603e+00,5.641895835477563e+00,2.400034561211850e-03
1.000000000000000e+02,1000,kahan,5.641760428027603e+00,5.641895835477563e+00,2.400034561211850e-03
1.000000000000000e+02,100000,naive,5.641895821936774e+00,5.641895835477563e+00,2.400042387051826e-07
1.000000000000000e+02,100000,naive_FMA,5.641895821936774e+00,5.641895835477563e+00,2.400042387051826e-07
1.000000000000000e+02,100000,recursive,5.641895821937012e+00,5.641895835477563e+00,2.400000198576890e-07
1.000000000000000e+02,100000,circle_recursive,5.641895821937012e+00,5.641895835477563e+00,2.400000198576890e-07
1.000000000000000e+02,100000,kahan,5.641895821937012e+00,5.641895835477563e+00,2.400000198576890e-07
1.000000000000000e+04,10,naive,3.952275963852095e+01,5.641895835477563e+01,2.994773248029044e+01
1.000000000000000e+04,10,naive_FMA,3.952275963852095e+01,5.641895835477563e+01,2.994773248029044e+01
1.000000000000000e+04,10,recursive,3.952275963852096e+01,5.641895835477563e+01,2.994773248029043e+01
1.000000000000000e+04,10,circle_recursive,3.952275963852095e+01,5.641895835477563e+01,2.994773248029044e+01
1.000000000000000e+04,10,kahan,3.952275963852095e+01,5.641895835477563e+01,2.994773248029044e+01
1.000000000000000e+04,1000,naive,5.641760428027600e+01,5.641895835477563e+01,2.400034561278463e-03
1.000000000000000e+04,1000,naive_FMA,5.641760428027600e+01,5.641895835477563e+01,2.400034561278463e-03
1.000000000000000e+04,1000,recursive,5.641760428027604e+01,5.641895835477563e+01,2.400034561211850e-03
1.000000000000000e+04,1000,circle_recursive,5.641760428027604e+01,5.641895835477563e+01,2.400034561222952e-03
1.000000000000000e+04,1000,kahan,5.641760428027604e+01,5.641895835477563e+01,2.400034561211850e-03
1.000000000000000e+04,100000,naive,5.641895821936849e+01,5.641895835477563e+01,2.400029064375531e-07
1.000000000000000e+04,100000,naive_FMA,5.641895821936849e+01,5.641895835477563e+01,2.400029064375531e-07
1.000000000000000e+04,100000,recursive,5.641895821937012e+01,5.641895835477563e+01,2.400000198576890e-07
1.000000000000000e+04,100000,circle_recursive,5.641895821937012e+01,5.641895835477563e+01,2.400000198576890e-07
1.000000000000000e+04,100000,kahan,5.641895821937012e+01,5.641895835477563e+01,2.400000198576890e-07
