T,N,method,result,theory,error
1.0000000e-01,10,naive,1.2498197e-01,1.7841241e-01,2.9947716e+01
1.0000000e-01,10,naive_FMA,1.2498197e-01,1.7841241e-01,2.9947716e+01
1.0000000e-01,10,recursive,1.2498197e-01,1.7841241e-01,2.9947716e+01
1.0000000e-01,10,circle_recursive,1.2498197e-01,1.7841241e-01,2.9947716e+01
1.0000000e-01,10,kahan,1.2498197e-01,1.7841241e-01,2.9947716e+01
1.0000000e-01,1000,naive,1.7840804e-01,1.7841241e-01,2.4497509e-03
1.0000000e-01,1000,naive_FMA,1.7840804e-01,1.7841241e-01,2.4497509e-03
1.0000000e-01,1000,recursive,1.7840812e-01,1.7841241e-01,2.4080276e-03
1.0000000e-01,1000,circle_recursive,1.7840812e-01,1.7841241e-01,2.4080276e-03
1.0000000e-01,1000,kahan,1.7840813e-01,1.7841241e-01,2.3961067e-03
1.0000000e-01,100000,naive,1.7840508e-01,1.7841241e-01,4.1067600e-03
1.0000000e-01,100000,naive_FMA,1.7840508e-01,1.7841241e-01,4.1067600e-03
1.0000000e-01,100000,recursive,1.7841242e-01,1.7841241e-01,1.1920929e-05
1.0000000e-01,100000,circle_recursive,1.7841242e-01,1.7841241e-01,1.1920929e-05
1.0000000e-01,100000,kahan,1.7841242e-01,1.7841241e-01,1.1920929e-05
1.0000000e+00,10,naive,3.9522770e-01,5.6418961e-01,2.9947716e+01
1.0000000e+00,10,naive_FMA,3.9522770e-01,5.6418961e-01,2.9947716e+01
1.0000000e+00,10,recursive,3.9522773e-01,5.6418961e-01,2.9947710e+01
1.0000000e+00,10,circle_recursive,3.9522773e-01,5.6418961e-01,2.9947710e+01
1.0000000e+00,10,kahan,3.9522773e-01,5.6418961e-01,2.9947710e+01
1.0000000e+00,1000,naive,5.6417578e-01,5.6418961e-01,2.4497509e-03
1.0000000e+00,1000,naive_FMA,5.6417578e-01,5.6418961e-01,2.4497509e-03
1.0000000e+00,1000,recursive,5.6417608e-01,5.6418961e-01,2.3961067e-03
1.0000000e+00,1000,circle_recursive,5.6417602e-01,5.6418961e-01,2.4080276e-03
1.0000000e+00,1000,kahan,5.6417608e-01,5.6418961e-01,2.3961067e-03
1.0000000e+00,100000,naive,5.6416106e-01,5.6418961e-01,5.0604343e-03
1.0000000e+00,100000,naive_FMA,5.6416106e-01,5.6418961e-01,5.0604343e-03
1.0000000e+00,100000,recursive,5.6418961e-01,5.6418961e-01,0.0000000e+00
1.0000000e+00,100000,circle_recursive,5.6418961e-01,5.6418961e-01,0.0000000e+00
1.0000000e+00,100000,kahan,5.6418961e-01,5.6418961e-01,0.0000000e+00
1.0000000e+02,10,naive,3.9522758e+00,5.6418958e+00,2.9947735e+01
1.0000000e+02,10,naive_FMA,3.9522758e+00,5.6418958e+00,2.9947735e+01
1.0000000e+02,10,recursive,3.9522758e+00,5.6418958e+00,2.9947735e+01
1.0000000e+02,10,circle_recursive,3.9522758e+00,5.6418958e+00,2.9947735e+01
1.0000000e+02,10,kahan,3.9522758e+00,5.6418958e+00,2.9947735e+01
1.0000000e+02,1000,naive,5.6417661e+00,5.6418958e+00,2.3007393e-03
1.0000000e+02,1000,naive_FMA,5.6417661e+00,5.6418958e+00,2.3007393e-03
1.0000000e+02,1000,recursive,5.6417603e+00,5.6418958e+00,2.4020672e-03
1.0000000e+02,1000,circle_recursive,5.6417603e+00,5.6418958e+00,2.4020672e-03
1.0000000e+02,1000,kahan,5.6417603e+00,5.6418958e+00,2.4020672e-03
1.0000000e+02,100000,naive,5.6416807e+00,5.6418958e+00,3.8146973e-03
1.0000000e+02,100000,naive_FMA,5.6416807e+00,5.6418958e+00,3.8146973e-03
1.0000000e+02,100000,recursive,5.6418962e+00,5.6418958e+00,1.1920929e-05
1.0000000e+02,100000,circle_recursive,5.6418958e+00,5.6418958e+00,0.0000000e+00
1.0000000e+02,100000,kahan,5.6418958e+00,5.6418958e+00,0.0000000e+00
1.0000000e+04,10,naive,3.9522755e+01,5.6418957e+01,2.9947741e+01
1.0000000e+04,10,naive_FMA,3.9522755e+01,5.6418957e+01,2.9947741e+01
1.0000000e+04,10,recursive,3.9522758e+01,5.6418957e+01,2.9947735e+01
1.0000000e+04,10,circle_recursive,3.9522758e+01,5.6418957e+01,2.9947735e+01
1.0000000e+04,10,kahan,3.9522758e+01,5.6418957e+01,2.9947735e+01
1.0000000e+04,1000,naive,5.6417591e+01,5.6418957e+01,2.4199486e-03
1.0000000e+04,1000,naive_FMA,5.6417591e+01,5.6418957e+01,2.4199486e-03
1.0000000e+04,1000,recursive,5.6417606e+01,5.6418957e+01,2.3961067e-03
1.0000000e+04,1000,circle_recursive,5.6417606e+01,5.6418957e+01,2.3961067e-03
1.0000000e+04,1000,kahan,5.6417603e+01,5.6418957e+01,2.4020672e-03
1.0000000e+04,100000,naive,5.6417095e+01,5.6418957e+01,3.3020973e-03
1.0000000e+04,100000,naive_FMA,5.6417095e+01,5.6418957e+01,3.3020973e-03
1.0000000e+04,100000,recursive,5.6418961e+01,5.6418957e+01,1.1920929e-05
1.0000000e+04,100000,circle_recursive,5.6418957e+01,5.6418957e+01,0.0000000e+00
1.0000000e+04,100000,kahan,5.6418957e+01,5.6418957e+01,0.0000000e+00
